,Movie Title,Movie URL,Release Year,Rank,Ratings,Votes
0,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,1994-01-01,1,9.3,2547869
1,The Godfather,https://www.imdb.com/title/tt0068646/,1972-01-01,2,9.2,1752551
2,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,1974-01-01,3,9.0,1215356
3,The Dark Knight,https://www.imdb.com/title/tt0468569/,2008-01-01,4,9.0,2498220
4,12 Angry Men,https://www.imdb.com/title/tt0050083/,1957-01-01,5,9.0,752874
5,Schindler's List,https://www.imdb.com/title/tt0108052/,1993-01-01,6,8.9,1300431
6,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,2003-01-01,7,8.9,1756133
7,Pulp Fiction,https://www.imdb.com/title/tt0110912/,1994-01-01,8,8.9,1959456
8,"The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/,1966-01-01,9,8.8,734915
9,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,2001-01-01,10,8.8,1777984
10,Fight Club,https://www.imdb.com/title/tt0137523/,1999-01-01,11,8.8,2005682
11,Forrest Gump,https://www.imdb.com/title/tt0109830/,1994-01-01,12,8.8,1966088
12,Inception,https://www.imdb.com/title/tt1375666/,2010-01-01,13,8.8,2237601
13,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,2002-01-01,14,8.7,1586716
14,Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,1980-01-01,15,8.7,1235078
15,The Matrix,https://www.imdb.com/title/tt0133093/,1999-01-01,16,8.7,1837830
16,Goodfellas,https://www.imdb.com/title/tt0099685/,1990-01-01,17,8.7,1100983
17,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,1975-01-01,18,8.7,973670
18,Seven Samurai,https://www.imdb.com/title/tt0047478/,1954-01-01,19,8.6,335874
19,Se7en,https://www.imdb.com/title/tt0114369/,1995-01-01,20,8.6,1562216
20,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,1991-01-01,21,8.6,1368225
21,City of God,https://www.imdb.com/title/tt0317248/,2002-01-01,22,8.6,735075
22,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,1946-01-01,23,8.6,440220
23,Life Is Beautiful,https://www.imdb.com/title/tt0118799/,1997-01-01,24,8.6,668958
24,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,1998-01-01,25,8.6,1328982
25,Star Wars: Episode IV - A New Hope,https://www.imdb.com/title/tt0076759/,1977-01-01,26,8.6,1306602
26,Interstellar,https://www.imdb.com/title/tt0816692/,2014-01-01,27,8.6,1692926
